"","sample","cell_type","composition","integrate"
"251","MOCC-0004-B","NKT",0.00568074388859513,"Y"
"252","MOCC-0004-B","Osteoblast",1.36207478652252e-18,"Y"
"253","MOCC-0004-B","pDC",0.12842196627386,"Y"
"254","MOCC-0004-B","Pericytes",0.0335850407052176,"Y"
"255","MOCC-0004-B","Plasma cells",0.0215191209061966,"Y"
"256","MOCC-0004-B","Platelets",0,"Y"
"257","MOCC-0004-B","Preadipocytes",0,"Y"
"258","MOCC-0004-B","pro B-cells",0.0199548685612182,"Y"
"259","MOCC-0004-B","Sebocytes",0.286248576804494,"Y"
"260","MOCC-0004-B","Skeletal muscle",1.89831105067447e-18,"Y"
"261","MOCC-0004-B","Smooth muscle",0.0266407246110589,"Y"
"262","MOCC-0004-B","Tgd cells",0.0276938742427807,"Y"
"263","MOCC-0004-B","Th1 cells",0.0443558376420105,"Y"
"264","MOCC-0004-B","Th2 cells",0.264469843404848,"Y"
"265","MOCC-0004-B","Tregs",0.0769970410159979,"Y"
"266","MOCC-0004-B","ImmuneScore",0.162068452590512,"Y"
"267","MOCC-0004-B","StromaScore",2.89493614152788e-19,"Y"
"268","MOCC-0004-B","MicroenvironmentScore",0.162068452590512,"Y"
"269","MOCC-0005-B","aDC",0.273596789166501,"Y"
"270","MOCC-0005-B","Adipocytes",6.27723269494357e-19,"Y"
"271","MOCC-0005-B","Astrocytes",0.107963713135143,"Y"
"272","MOCC-0005-B","B-cells",0.00660539704423455,"Y"
"273","MOCC-0005-B","Basophils",0,"Y"
"274","MOCC-0005-B","CD4+ memory T-cells",0.0313798842130252,"Y"
"275","MOCC-0005-B","CD4+ naive T-cells",0,"Y"
"276","MOCC-0005-B","CD4+ T-cells",0,"Y"
"277","MOCC-0005-B","CD4+ Tcm",0,"Y"
"278","MOCC-0005-B","CD4+ Tem",0.0412361547396096,"Y"
"279","MOCC-0005-B","CD8+ naive T-cells",0,"Y"
"280","MOCC-0005-B","CD8+ T-cells",0.0787212365605245,"Y"
"281","MOCC-0005-B","CD8+ Tcm",0.148730868769759,"Y"
"282","MOCC-0005-B","CD8+ Tem",0.0108503370120791,"Y"
"283","MOCC-0005-B","cDC",0.273650628662214,"Y"
"284","MOCC-0005-B","Chondrocytes",0.0760802461644076,"Y"
"285","MOCC-0005-B","Class-switched memory B-cells",0,"Y"
"286","MOCC-0005-B","CLP",0.0164478972849162,"Y"
"287","MOCC-0005-B","CMP",0.0132399561777028,"Y"
"288","MOCC-0005-B","DC",0.0846124638738039,"Y"
"289","MOCC-0005-B","Endothelial cells",0.14376304901029,"Y"
"290","MOCC-0005-B","Eosinophils",0,"Y"
"291","MOCC-0005-B","Epithelial cells",0.433757551845358,"Y"
"292","MOCC-0005-B","Erythrocytes",0,"Y"
"293","MOCC-0005-B","Fibroblasts",0.310206313711882,"Y"
"294","MOCC-0005-B","GMP",0.0570143948150055,"Y"
"295","MOCC-0005-B","Hepatocytes",0,"Y"
"296","MOCC-0005-B","HSC",0.497146325995837,"Y"
"297","MOCC-0005-B","iDC",1.08219488246339,"Y"
"298","MOCC-0005-B","Keratinocytes",0.201101716702252,"Y"
"299","MOCC-0005-B","ly Endothelial cells",0.0709947117541719,"Y"
"300","MOCC-0005-B","Macrophages",0.0846217670092328,"Y"
