"","Row.names","anno","logFC_RNA","pvalue_RNA","logFC_protein","pvalue_protein","group","size","alpha"
"639","CEPT1",NA,0.137046471851083,0.564100919328573,0.194101189131621,0.187649009987594,"stable",0.5,0.1
"640","CERS2",NA,-0.63083198977569,0.0834272258829567,0.217492474565008,0.14470772494323,"stable",0.5,0.1
"641","CES2",NA,0.0311794371216867,0.936812553312357,0.17090784630016,0.794327833636499,"stable",0.5,0.1
"642","CETN2",NA,0.358413647130642,0.202770815588833,-0.117142732990369,0.719343632342119,"stable",0.5,0.1
"643","CFAP20",NA,0.0912579729893254,0.702214961931273,0.0336255389839486,0.960663764547509,"stable",0.5,0.1
"644","CFD",NA,0.486535361525029,0.320937266347835,-0.131347343337079,0.983136034141737,"stable",0.5,0.1
"645","CFDP1",NA,-0.0284252127228886,0.873509269485238,-0.0805771634670947,0.568195995424112,"stable",0.5,0.1
"646","CFH",NA,0.260669116751564,0.580960507738309,-0.152239236213483,0.751197080993893,"stable",0.5,0.1
"647","CFL1",NA,0.0764751945634197,0.746256761787713,-0.00105137278491174,0.687970337840528,"stable",0.5,0.1
"648","CFL2",NA,0.747727672225213,0.0295496024977478,-0.612529548661316,0.192412892515574,"stable",0.5,0.1
"649","CGAS",NA,0.316607295572978,0.287077205775118,0.17057882934992,0.370884666184327,"stable",0.5,0.1
"650","CGGBP1",NA,0.249566274244238,0.107336707720417,0.00884498002247189,0.838096877912362,"stable",0.5,0.1
"651","CHCHD2",NA,1.25667039870461,0.0127897288860457,0.137982491102729,0.485468116473149,"stable",0.5,0.1
"652","CHCHD3",NA,0.0391952463589531,0.849004607050452,-0.154962419691814,0.667345336893643,"stable",0.5,0.1
"653","CHD1",NA,0.0972713937514565,0.738220836328243,0.0329092725666132,0.838096877912362,"stable",0.5,0.1
"654","CHD2",NA,0.243018780483496,0.494742590235923,0.00197579499678974,0.893505111345828,"stable",0.5,0.1
"655","CHD3",NA,-0.86316030977678,0.0169218517779291,-0.154670027495987,0.587455421893273,"stable",0.5,0.1
"656","CHD4",NA,0.333618141441466,0.283473651356336,0.0613595587720706,0.783480294021477,"stable",0.5,0.1
"657","CHD8",NA,-0.294564349219475,0.22696424566829,0.143004402642055,0.334406816728152,"stable",0.5,0.1
"658","CHEK2",NA,0.58267629179333,0.0180321981709862,0.0891397496998395,0.761912955252238,"stable",0.5,0.1
"659","CHI3L1",NA,0.191531535018338,0.731703909022086,-0.275064420224719,0.0977694946785663,"stable",0.5,0.1
"660","CHID1",NA,-0.404821892957645,0.0557455065134326,0.0477529175329053,0.816140656926524,"stable",0.5,0.1
"661","CHL1",NA,0.549580177864389,0.500190851641667,-0.242470424229535,0.597197091072,"stable",0.5,0.1
"662","CHM",NA,0.0954695749234416,0.665115780870766,0.17406651787801,0.103613676731624,"stable",0.5,0.1
"663","CHMP1A",NA,-0.203642464777093,0.358462401575378,-0.0416645234991975,0.860179893072024,"stable",0.5,0.1
"664","CHMP1B",NA,-0.106333287044956,0.706098688090442,-0.0470125742407704,0.558680877475579,"stable",0.5,0.1
"665","CHMP2A",NA,-0.0403312217973127,0.827707545281997,-0.0361797206276083,0.587455421893273,"stable",0.5,0.1
"666","CHMP2B",NA,0.295953462118574,0.178650630341854,-0.0104275904365971,0.882372801088799,"stable",0.5,0.1
"667","CHMP4B",NA,0.00564306060119214,0.982227798760776,0.330123565022472,0.160880737082072,"stable",0.5,0.1
"668","CHMP4C",NA,0.487618580525058,0.153508715173148,0.330123565022472,0.160880737082072,"stable",0.5,0.1
"669","CHMP5",NA,0.87956477351606,0.0381553786099355,-0.16282442329695,0.300326435429142,"stable",0.5,0.1
"670","CHMP7",NA,-0.212196655476997,0.162844030593418,-0.159208908252006,0.245008823079876,"stable",0.5,0.1
